expt,HDonors,HAcceptors,AromaticRings,Morgan1,MaxAbsCharge
-11.01,0,2,1,1.2307692307692308,11.429183201058201
-4.87,0,2,0,1.6,9.397376543209877
1.83,0,0,0,1.6,3.560185185185185
-5.45,0,2,1,1.5,4.034722222222222
-4.21,1,1,0,1.0,8.365586734693878
-6.27,1,1,1,1.0,8.99388888888889
2.34,0,0,0,0.6666666666666666,2.240740740740741
-3.92,1,1,0,1.4285714285714286,9.01763888888889
1.58,0,0,0,0.875,2.3787962962962963
-4.62,1,1,0,1.8,8.36111111111111
-1.96,0,0,0,1.3333333333333333,3.0625
-3.88,1,1,0,1.4285714285714286,8.935185185185185
-4.33,0,1,1,1.5,4.097222222222222
-2.49,0,2,0,1.4444444444444444,10.579722222222223
-2.55,1,1,1,1.0,4.084382716049383
-4.78,1,1,0,1.1818181818181819,8.5533841962711
-1.46,0,0,1,0.8888888888888888,2.238425925925926
-2.22,0,1,1,1.2222222222222223,5.2058333333333335
-5.85,1,1,1,1.125,8.735833333333332
2.88,0,0,0,1.1428571428571428,2.2743055555555554
-6.34,0,4,0,1.0,10.125718537414967
-6.1,0,8,0,0.6842105263157895,5.554592466616276
-5.48,1,1,0,0.875,9.089166666666667
-4.1,0,2,0,1.7142857142857142,10.351851851851851
-4.1,0,1,1,1.125,8.287592592592592
-3.52,0,1,0,1.6666666666666667,7.947361111111111
-4.47,1,1,0,1.2,8.520833333333332
-2.74,0,1,0,1.0,10.842592592592592
-3.43,0,1,0,2.0,9.17361111111111
-7.81,0,1,0,1.6,9.430555555555555
-0.8,0,0,1,0.75,2.1203703703703702
0.93,0,0,0,1.2,3.4791666666666665
-6.78,2,2,2,1.0,11.123831884605693
-9.29,0,1,1,1.1818181818181819,11.27037037037037
-4.07,1,1,0,1.2,3.111111111111111
-5.91,1,1,1,1.0,9.022397959183674
-2.13,0,2,0,1.625,9.564127928949357
-3.64,1,1,0,0.7272727272727273,8.507012641489101
-2.68,0,2,0,1.5714285714285714,10.189583333333333
3.13,0,0,0,0.5555555555555556,2.2637110260770976
-10.0,1,1,0,1.8,9.70138888888889
2.06,0,0,0,1.1111111111111112,3.678478757243638
-8.11,1,1,2,0.8181818181818182,9.130243764172334
-1.12,0,0,1,0.8888888888888888,5.5975617283950605
-23.62,6,6,0,0.6666666666666666,8.95662037037037
-2.83,0,2,0,1.7142857142857142,10.189583333333333
-4.68,1,2,1,1.3333333333333333,10.067314814814814
-5.56,1,1,0,1.25,3.111111111111111
-3.65,1,1,0,1.0,3.2847222222222223
-5.49,1,1,1,1.0,5.357777777777778
3.12,0,0,0,0.8,9.6875
-4.42,1,1,0,1.6666666666666667,8.33476851851852
-6.2,1,1,1,1.25,8.91175925925926
-6.96,1,3,1,1.0909090909090908,9.338796296296296
-0.16,0,0,0,2.0,4.777777777777778
-0.25,0,0,1,0.9,11.78787037037037
-9.3,2,2,0,1.0,4.0
-4.63,0,1,1,1.4285714285714286,3.979166666666667
-10.22,2,5,1,1.0,5.6792542202066
-3.56,0,2,2,0.6875,5.905221893284062
-3.65,1,1,0,0.8888888888888888,5.343246488410179
-4.29,1,1,0,1.0,0.0
1.07,0,0,1,0.6428571428571429,12.078703703703704
-9.51,1,3,1,1.3636363636363635,10.820871126228269
-0.23,0,0,1,1.0,2.241064814814815
-0.11,0,0,0,1.5,10.333333333333334
-16.43,1,4,2,1.2666666666666666,11.678522297808012
0.56,0,0,0,1.0,3.361111111111111
-3.2,0,1,0,1.0,2.0
-9.31,1,1,0,1.5,10.096346371882087
-1.88,0,3,0,1.75,9.487083333333334
-14.21,2,4,2,0.85,12.58277730536659
-8.18,1,4,0,1.8571428571428572,9.230416666666667
-2.88,0,1,0,1.2222222222222223,10.40689767573696
-7.77,1,2,0,1.2857142857142858,3.2734722222222223
-4.5,1,1,0,2.0,4.847222222222222
-0.99,0,0,0,0.7142857142857143,2.125
-3.78,0,0,2,0.5,2.2413425925925927
-0.84,0,0,0,1.5,5.040123456790123
-7.66,1,2,1,1.4444444444444444,8.864166666666666
-3.15,0,0,2,0.75,2.2488425925925926
0.52,0,0,0,0.8888888888888888,3.418536824452003
-6.62,1,1,1,1.125,8.537592592592592
-18.17,2,2,1,1.4444444444444444,10.51738425925926
2.1,0,0,0,1.0,2.1805555555555554
-0.55,0,0,0,1.5,4.638888888888888
-0.03,0,0,0,1.6,3.3136574074074074
-1.21,0,1,0,0.8571428571428571,2.226851851851852
2.67,0,0,0,0.7142857142857143,2.245694444444444
-9.63,1,1,1,1.6,3.666666666666667
-3.84,0,2,2,0.7222222222222222,6.0667542202066
-9.73,1,3,1,1.5,11.706828703703703
-2.49,0,0,0,1.3333333333333333,2.2750000000000004
-4.13,0,2,0,1.0769230769230769,11.57087962962963
-4.02,0,2,0,2.0,8.805555555555555
-2.1,0,1,0,1.75,4.541666666666666
-4.59,0,3,0,1.1111111111111112,5.449706790123456
2.3,0,0,0,1.0,2.1666666666666665
-6.09,1,1,0,1.7142857142857142,9.809722222222222
-7.07,0,4,1,1.25,12.29876557207245
-0.33,0,0,0,1.75,5.1859567901234565
-1.28,0,1,0,1.0,2.224861111111111
-4.06,1,1,0,1.4285714285714286,8.857916666666666
-3.88,0,1,0,2.0,7.319444444444445
-1.92,0,1,1,1.1538461538461537,11.950036848072562
0.1,0,1,0,1.2,11.219212962962963
1.01,0,0,0,1.0,3.5504166666666666
-0.83,0,0,1,1.0,2.1666666666666665
-3.13,0,2,0,1.8,9.590277777777779
-4.04,0,3,1,0.8461538461538461,5.17787037037037
-3.64,0,2,1,1.3636363636363635,11.022453703703704
-1.1,1,1,0,1.75,3.920524691358025
-3.04,0,1,0,1.375,10.318568594104308
-9.61,1,3,1,1.5,11.153530801209373
-2.38,0,0,1,1.125,3.3574537037037038
-2.23,0,2,0,1.3,10.695651927437641
-1.66,0,1,0,1.6,4.690972222222222
-6.32,0,2,0,1.2857142857142858,5.098194444444444
-9.65,1,2,1,1.4444444444444444,8.793055555555556
-4.38,0,0,2,0.5555555555555556,6.146028596623834
-0.53,0,0,1,1.1111111111111112,2.201388888888889
-12.64,0,6,2,1.1428571428571428,11.672037037037036
-4.29,1,1,0,1.3333333333333333,2.75
2.93,0,0,0,0.8888888888888888,11.037037037037038
-7.03,1,1,1,1.125,8.698024691358025
-5.11,1,1,0,0.8333333333333334,3.2847222222222223
-3.88,0,0,3,0.42857142857142855,2.1782407407407405
-0.89,0,0,0,1.5,2.1500000000000004
-6.44,1,3,1,1.0769230769230769,9.531574074074074
-0.78,0,0,0,1.0,4.8734567901234565
2.3,0,0,0,1.0,2.2118055555555554
-3.64,0,1,0,1.8,7.81625
0.5,0,0,0,1.2857142857142858,11.0
-5.04,0,2,1,1.4,4.156388888888889
-1.82,0,3,0,1.875,9.551944444444445
-2.46,0,0,2,0.7857142857142857,6.072096245905769
-3.48,0,0,2,0.6875,6.129966616276139
2.52,0,0,0,1.1428571428571428,2.2962962962962963
-3.73,1,1,0,1.2857142857142858,8.722777777777779
-3.12,0,1,0,0.8333333333333334,5.069444444444445
0.75,0,0,0,0.6666666666666666,1.5
-3.17,0,0,2,0.47368421052631576,6.155287855883093
0.25,0,0,0,1.5,4.845679012345679
-4.5,1,1,0,1.6,8.143518518518519
-2.44,0,2,0,1.5,10.348472222222222
-0.64,0,0,0,0.5,5.1442901234567895
-2.73,0,1,1,1.125,2.1018518518518516
-5.66,1,1,1,1.3333333333333333,9.11050925925926
1.09,0,0,0,1.2,5.530092592592592
0.68,0,0,0,1.8,3.5555555555555554
-0.68,0,0,1,1.0,2.212962962962963
-8.41,0,2,1,1.6666666666666667,3.7847222222222223
-9.3,2,2,0,1.0,7.625
-1.36,0,0,1,0.875,5.5767283950617275
-15.83,2,2,1,1.3333333333333333,10.351111111111111
-2.48,0,2,0,1.8333333333333333,9.341527777777777
-3.1,0,2,2,0.7333333333333333,5.868184856247025
-6.21,1,1,0,1.5,9.874124149659863
-5.71,0,4,0,0.9166666666666666,10.721758786848072
-4.86,0,1,1,1.375,4.04
0.14,0,0,0,0.8333333333333334,2.267361111111111
-7.58,0,2,0,0.75,2.361111111111111
-3.04,0,0,2,0.5555555555555556,6.146028596623834
-6.5,0,2,0,0.75,10.282777777777778
-4.0,0,2,0,2.0,9.82638888888889
-3.18,0,1,0,1.8,9.40486111111111
-0.79,0,0,1,1.125,2.162037037037037
-0.44,0,0,0,1.4,4.9567901234567895
-3.22,0,1,0,0.8571428571428571,2.375
-4.15,0,2,2,0.631578947368421,6.081681941295035
-5.22,0,1,1,1.25,3.9450925925925926
-18.06,3,3,1,0.6666666666666666,10.18
-4.02,0,1,1,1.125,10.006481481481481
-4.39,0,1,1,1.4285714285714286,5.4285802469135795
-0.57,0,0,0,2.0,5.0679012345679
-4.7,0,1,1,1.2,10.75667044595616
-2.75,0,1,0,1.5,8.0
-1.14,0,0,1,1.25,5.708672839506172
-9.8,0,1,0,1.375,10.571944444444444
-4.42,0,3,0,0.875,4.791666666666666
-0.4,0,0,1,1.1,2.225138888888889
-3.45,0,1,1,1.0,2.0833333333333335
-2.01,0,1,0,1.4,4.75
-4.53,0,2,2,0.3181818181818182,6.1029522549760635
-2.98,0,0,2,0.22727272727272727,6.202787855883093
-1.99,0,0,0,1.4,5.095679012345679
-4.69,1,1,1,1.125,3.026944444444444
-2.64,0,2,0,1.5714285714285714,10.031944444444445
-0.9,0,0,1,0.3333333333333333,2.0
-1.24,0,0,1,0.8888888888888888,5.613765432098765
-6.5,0,5,1,1.1666666666666667,5.835130399441516
-10.03,0,8,2,1.368421052631579,12.165822625346436
-4.05,0,2,2,0.7647058823529411,6.054045886873267
0.4,0,0,0,1.0,3.6550925925925926
1.58,0,0,0,1.6666666666666667,3.5981944444444443
-0.7,0,0,0,1.0,0.0
-1.59,0,1,0,1.2,4.833333333333333
-7.65,2,6,1,1.2,4.263926681783825
-8.72,1,3,1,1.3571428571428572,11.326939720332577
-2.26,0,2,0,1.3,10.254216348576467
-4.7,0,1,0,1.1666666666666667,10.243055555555555
-6.16,1,1,0,1.7142857142857142,9.758194444444445
-0.74,0,0,0,2.0,3.1458333333333335
-2.63,0,0,2,0.6666666666666666,2.217037037037037
-4.4,1,1,0,1.1428571428571428,8.292882653061223
-2.69,0,0,2,0.6923076923076923,6.058762912572435
0.67,0,0,0,1.4285714285714286,2.3506944444444446
-1.66,0,3,0,1.4,9.61532745968758
-2.13,0,0,0,1.0,3.1041666666666665
-6.13,1,1,1,1.2222222222222223,8.85218820861678
-6.4,1,2,0,1.4285714285714286,8.167882653061223
-3.82,0,2,1,1.2222222222222223,9.75204081632653
-18.72,2,2,1,1.4444444444444444,10.556759259259259
-6.35,1,1,0,1.8333333333333333,9.599305555555556
-0.8,0,3,0,0.8181818181818182,12.00125
-20.52,4,5,0,1.0,8.876620370370372
1.79,0,0,0,1.2,10.270833333333334
-4.72,1,1,0,1.6,8.06625
-0.8,0,0,1,1.0,11.906666666666666
-2.94,0,2,0,1.8333333333333333,9.821527777777778
-1.69,0,2,0,1.3,10.825046296296296
-2.21,0,1,0,1.1666666666666667,4.9375
-2.55,0,0,0,0.8823529411764706,6.57224537037037
-3.41,0,1,0,1.3333333333333333,10.180555555555555
-1.1,0,2,0,1.5,10.974953703703704
-2.4,0,0,2,0.5,2.1203703703703702
-4.4,0,0,2,0.47368421052631576,6.159361929957167
-9.94,1,3,1,1.3076923076923077,10.611948223733938
-3.11,0,1,0,1.2857142857142858,10.465277777777779
-4.87,0,3,0,1.5,9.777777777777779
-4.73,0,1,1,1.375,3.8933333333333335
-3.22,1,1,0,0.8571428571428571,3.3055555555555554
-3.67,0,2,2,0.625,5.872300082584474
-3.79,1,1,0,1.0,5.310742630385487
1.59,0,0,0,1.1666666666666667,2.3402777777777777
2.0,0,0,0,1.3333333333333333,2.125
-3.3,0,1,0,1.6666666666666667,5.152777777777778
-9.45,1,2,2,1.1333333333333333,11.091562263794406
-9.52,1,2,1,1.4444444444444444,10.047592592592594
-3.95,0,0,3,0.42857142857142855,2.2407407407407405
-1.31,0,0,0,1.3333333333333333,4.763888888888888
-2.4,0,2,0,1.375,10.61111111111111
-1.45,0,2,0,1.4285714285714286,9.430555555555555
-8.61,0,2,0,1.0,10.430555555555555
-5.26,1,1,1,1.1111111111111112,9.206296296296296
-5.49,1,1,1,1.375,8.813055555555556
-9.53,2,4,2,0.8333333333333334,12.283240740740741
-11.85,2,4,2,0.6666666666666666,12.338796296296296
-2.49,0,1,0,1.1,10.47643857079869
-4.24,1,1,0,1.6,5.139027777777778
-2.49,0,2,0,1.5,10.420833333333334
-5.57,1,1,1,1.125,5.426666666666667
0.08,0,0,0,1.1428571428571428,2.427110090702948
1.77,0,0,0,0.875,11.544753086419753
-8.7,0,4,0,1.0,10.652777777777779
-0.98,0,0,1,1.0,5.560524691358024
-2.47,0,0,2,0.9166666666666666,2.224537037037037
2.51,0,0,0,1.3333333333333333,2.2534722222222223
-5.04,0,5,1,1.1666666666666667,5.9376562106324
0.06,0,0,0,1.3333333333333333,10.652777777777779
1.28,0,0,0,1.0,3.0
-0.14,0,0,0,1.3333333333333333,2.4107722222222225
-4.42,0,3,0,0.8571428571428571,4.604166666666667
3.16,0,0,0,0.5,2.2698838655832705
-4.95,0,6,0,1.3636363636363635,9.612318594104309
1.32,0,0,0,2.0,3.361111111111111
-5.88,1,0,2,1.2,3.187824074074074
-12.74,1,4,0,1.3333333333333333,11.349560185185185
1.23,0,0,0,0.3333333333333333,1.5
-4.45,1,1,0,1.1818181818181819,8.5533841962711
-0.3,0,0,1,1.0,2.2037037037037037
2.56,0,0,0,0.625,2.314814814814815
-3.24,0,1,0,1.5,10.143518518518519
-3.24,1,1,0,0.8888888888888888,3.3872222222222224
-0.99,1,1,0,1.6,4.000663580246914
-3.81,0,2,2,0.6111111111111112,6.074879220206601
-8.68,1,4,1,1.1333333333333333,10.734119425547997
-4.59,1,1,0,1.0,5.634722222222223
-0.5,0,0,0,1.5,10.098765432098766
-6.88,0,4,1,1.3846153846153846,10.902503779289493
-8.26,0,2,1,1.6666666666666667,10.60537037037037
-0.48,0,0,0,2.0,4.597222222222222
-2.07,0,1,0,1.0,9.893722521415974
-6.46,1,1,0,2.0,9.368055555555555
-1.08,0,0,0,1.0,4.805555555555555
-1.21,0,0,1,0.8888888888888888,2.1574074074074074
2.0,0,0,0,1.0,0.0
-1.93,0,0,1,1.125,5.526913580246913
1.7,0,0,0,1.0,2.3602777777777777
-1.38,0,1,1,1.6666666666666667,2.1018518518518516
-4.69,0,1,1,0.8333333333333334,3.7847222222222223
-0.16,0,0,0,1.6,5.301651234567901
-2.92,0,1,0,1.1428571428571428,5.361111111111111
-5.8,1,2,1,1.4,9.109953703703704
-3.44,0,0,0,0.7777777777777778,6.6189120370370365
-0.9,0,0,1,1.0,2.0833333333333335
-2.22,0,2,0,1.7142857142857142,9.487083333333334
-9.2,1,3,1,1.4166666666666667,11.052121126228268
-3.54,0,2,0,0.875,5.010555555555555
-2.11,0,2,0,1.3,10.552731009070294
-5.21,1,1,1,1.2,8.924892290249433
1.31,0,0,0,1.4,2.0833333333333335
-1.79,0,0,0,1.0,5.054012345679012
2.56,0,0,0,1.0,2.298611111111111
-2.78,0,0,2,0.75,2.2407407407407405
-4.59,0,1,1,1.125,4.173611111111111
-1.12,0,1,0,1.5,11.789351851851851
-5.31,0,3,0,1.4444444444444444,10.129119897959184
-7.29,1,2,1,1.4444444444444444,5.454166666666667
-7.1,0,2,1,1.625,9.96648148148148
-4.43,1,1,0,1.5,8.82638888888889
-8.21,0,2,1,1.2777777777777777,11.95265022675737
-2.89,0,1,1,1.1666666666666667,2.0
-2.93,0,2,0,1.2,4.46875
-4.35,1,1,0,1.3333333333333333,8.666666666666668
-2.15,0,1,0,0.9166666666666666,10.57893372435445
-1.95,0,0,0,1.75,5.1390817901234565
-1.74,0,0,1,1.0,2.2798000000000003
-5.18,0,1,0,1.4,11.012708333333334
-0.74,0,0,0,2.0,2.2883333333333336
-5.26,1,2,1,1.4166666666666667,9.27817932728647
-0.48,0,0,0,1.5,3.2708333333333335
-1.39,0,0,1,1.125,3.345416666666667
